Archer (Ranged): 1d9 - 5
Berserker (Melee): 1d9 - 5
Corsair (Melee): 1d9 - 5
Dark Knight (Magic): 1d9 - 5
Drakania (Melee): 1d9 - 5
Guardian (Melee): 1d9 - 5
Hashashin (Magic): 2d5 - 6
Kunoichi (Melee): 1d9 - 5
Lahn (Melee): 1d9 - 5
Maegu (Magic): 1d9 - 5
Maewah (Melee): 1d9 - 5
Musa (Melee): 1d9 - 5
Mystic (Melee): 1d9 - 5
Ninja (Melee): 1d9 - 5
Nova (Melee): 1d9 - 5
Ranger (Ranged): 1d9 - 5 
Sage (Magic): 1d9 - 5
Shai (Melee): 1d5 - 3
Sorc (Magic): 1d9 - 5
Striker (Melee): 1d9 - 5
Tamer (Magic): 1d5 - 3
Valkyrie (Melee): 1d9 - 5
Warrior (Melee): 1d9 - 5
Witch (Magic): 1d9 - 5
Woosa (Magic): 1d9 - 5
Wizard (Magic): 1d5 - 3
